,Time Length,Window Accuracy,Window Size
188,1000.0,51.98109999999994,188
189,1000.0,51.50230000000002,189
190,1000.0,51.77840000000009,190
191,1000.0,51.97149999999999,191
192,1000.0,51.775100000000066,192
193,1000.0,52.286100000000005,193
194,1000.0,52.074899999999985,194
195,1000.0,51.78130000000004,195
196,1000.0,52.20470000000003,196
197,1000.0,52.253600000000006,197
198,1000.0,51.646399999999986,198
199,1000.0,52.11449999999996,199
200,1000.0,51.675800000000024,200
201,1000.0,52.25550000000003,201
202,1000.0,51.967099999999924,202
203,1000.0,51.60969999999999,203
204,1000.0,52.12589999999998,204
205,1000.0,51.78610000000006,205
206,1000.0,51.64990000000001,206
207,1000.0,51.953400000000045,207
208,1000.0,52.13409999999998,208
209,1000.0,52.02529999999999,209
210,1000.0,52.31569999999994,210
211,1000.0,51.76479999999998,211
212,1000.0,51.70019999999994,212
213,1000.0,51.62090000000002,213
214,1000.0,52.09180000000005,214
215,1000.0,51.812099999999965,215
216,1000.0,51.712199999999925,216
217,1000.0,52.32409999999995,217
218,1000.0,51.61450000000008,218
219,1000.0,52.17509999999997,219
220,1000.0,52.098300000000016,220
221,1000.0,52.16729999999998,221
222,1000.0,52.18189999999999,222
223,1000.0,52.16710000000004,223
224,1000.0,51.75789999999994,224
225,1000.0,52.57939999999999,225
226,1000.0,51.819700000000054,226
227,1000.0,51.989800000000045,227
228,1000.0,51.89790000000003,228
229,1000.0,52.22340000000001,229
230,1000.0,52.16689999999998,230
231,1000.0,51.94370000000005,231
232,1000.0,52.32179999999998,232
233,1000.0,51.969799999999935,233
234,1000.0,52.13830000000002,234
235,1000.0,52.27170000000005,235
236,1000.0,51.885300000000015,236
237,1000.0,52.1631,237
238,1000.0,52.272300000000016,238
239,1000.0,52.21769999999993,239
240,1000.0,52.1075000000001,240
241,1000.0,51.96770000000005,241
242,1000.0,52.31990000000003,242
243,1000.0,52.11739999999998,243
244,1000.0,52.237900000000046,244
245,1000.0,52.15600000000001,245
246,1000.0,52.02970000000003,246
